,time,object_1
0,0.0,"[321.0, 74.0, 28.0, 25.0]"
1,0.033333,"[323.384615560203, 76.2307693950288, 27.6923076696512, 25.384615412936]"
2,0.066667,"[325.769231120406, 78.4615387900576, 27.3846153393024, 25.769230825872]"
3,0.1,"[328.15384668061, 80.6923081850864, 27.0769230089536, 26.153846238808]"
4,0.13333,"[330.538462240813, 82.9230775801153, 26.7692306786048, 26.538461651744]"
5,0.16667,"[332.923077801016, 85.1538469751441, 26.461538348256, 26.92307706468]"
6,0.2,"[335.307693361219, 87.3846163701729, 26.1538460179072, 27.307692477616]"
7,0.23333,"[337.692308921422, 89.6153857652017, 25.8461536875584, 27.692307890552]"
8,0.26667,"[340.076924481626, 91.8461551602305, 25.5384613572096, 28.076923303488]"
9,0.3,"[342.461540041829, 94.0769245552593, 25.2307690268608, 28.461538716424]"
10,0.33333,"[344.846155602032, 96.3076939502882, 24.923076696512, 28.84615412936]"
11,0.36667,"[347.230771162235, 98.538463345317, 24.6153843661632, 29.230769542296]"
12,0.4,"[349.615386722438, 100.769232740346, 24.3076920358144, 29.615384955232]"
13,0.43333,"[352.0, 103.0, 24.0, 30.0]"
14,0.46667,"[354.142856982747, 104.785714152289, 24.0714285660916, 29.5714286034506]"
15,0.5,"[356.285713965494, 106.571428304578, 24.1428571321831, 29.1428572069012]"
16,0.53333,"[358.428570948241, 108.357142456868, 24.2142856982747, 28.7142858103518]"
17,0.56667,"[360.571427930988, 110.142856609157, 24.2857142643663, 28.2857144138024]"
18,0.6,"[362.714284913735, 111.928570761446, 24.3571428304578, 27.8571430172529]"
19,0.63333,"[364.857141896482, 113.714284913735, 24.4285713965494, 27.4285716207035]"
20,0.66667,"[366.999998879229, 115.499999066025, 24.499999962641, 27.0000002241541]"
21,0.7,"[369.142855861976, 117.285713218314, 24.5714285287326, 26.5714288276047]"
22,0.73333,"[371.285712844723, 119.071427370603, 24.6428570948241, 26.1428574310553]"
23,0.76667,"[373.42856982747, 120.857141522892, 24.7142856609157, 25.7142860345059]"
24,0.8,"[375.571426810218, 122.642855675181, 24.7857142270073, 25.2857146379565]"
25,0.83333,"[377.714283792965, 124.428569827471, 24.8571427930988, 24.8571432414071]"
26,0.86667,"[379.857140775712, 126.21428397976, 24.9285713591904, 24.4285718448576]"
27,0.9,"[382.0, 128.0, 25.0, 24.0]"
28,0.93333,"[384.357143186124, 129.85714311634, 25.1428571627954, 24.0]"
29,0.96667,"[386.714286372248, 131.71428623268, 25.2857143255908, 24.0]"
30,1.0,"[389.071429558372, 133.57142934902, 25.4285714883862, 24.0]"
31,1.0333,"[391.428572744495, 135.42857246536, 25.5714286511815, 24.0]"
32,1.0667,"[393.785715930619, 137.2857155817, 25.7142858139769, 24.0]"
33,1.1,"[396.142859116743, 139.14285869804, 25.8571429767723, 24.0]"
34,1.1333,"[398.500002302867, 141.00000181438, 26.0000001395677, 24.0]"
35,1.1667,"[400.857145488991, 142.85714493072, 26.1428573023631, 24.0]"
36,1.2,"[403.214288675115, 144.71428804706, 26.2857144651585, 24.0]"
37,1.2333,"[405.571431861238, 146.5714311634, 26.4285716279538, 24.0]"
38,1.2667,"[407.928575047362, 148.42857427974, 26.5714287907492, 24.0]"
39,1.3,"[410.285718233486, 150.28571739608, 26.7142859535446, 24.0]"
40,1.3333,"[412.64286141961, 152.14286051242, 26.85714311634, 24.0]"
41,1.3667,"[415.0, 154.0, 27.0, 24.0]"
42,1.4,"[417.454545223331, 155.090908988147, 27.2727272470368, 24.2727272470368]"
43,1.4333,"[419.909090446662, 156.181817976294, 27.5454544940735, 24.5454544940735]"
44,1.4667,"[422.363635669992, 157.272726964441, 27.8181817411103, 24.8181817411103]"
45,1.5,"[424.818180893323, 158.363635952588, 28.090908988147, 25.090908988147]"
46,1.5333,"[427.272726116654, 159.454544940735, 28.3636362351838, 25.3636362351838]"
47,1.5667,"[429.727271339985, 160.545453928882, 28.6363634822206, 25.6363634822206]"
48,1.6,"[432.181816563316, 161.636362917029, 28.9090907292573, 25.9090907292573]"
49,1.6333,"[434.636361786646, 162.727271905176, 29.1818179762941, 26.1818179762941]"
50,1.6667,"[437.090907009977, 163.818180893323, 29.4545452233308, 26.4545452233308]"
51,1.7,"[439.545452233308, 164.90908988147, 29.7272724703676, 26.7272724703676]"
52,1.7333,"[442.0, 166.0, 30.0, 27.0]"
53,1.7667,"[448.0, 169.0, 24.0, 22.0]"
54,1.8,"[598.0, 291.0, 20.0, 21.0]"
55,1.8333,"[594.142856607265, 291.857142976163, 20.3571429067347, 21.1428571626939]"
56,1.8667,"[590.28571321453, 292.714285952327, 20.7142858134694, 21.2857143253878]"
57,1.9,"[586.428569821796, 293.57142892849, 21.0714287202041, 21.4285714880816]"
58,1.9333,"[582.571426429061, 294.428571904653, 21.4285716269388, 21.5714286507755]"
59,1.9667,"[578.714283036326, 295.285714880816, 21.7857145336735, 21.7142858134694]"
60,2.0,"[574.857139643591, 296.14285785698, 22.1428574404082, 21.8571429761633]"
61,2.0333,"[570.999996250857, 297.000000833143, 22.5000003471429, 22.0000001388572]"
62,2.0667,"[567.142852858122, 297.857143809306, 22.8571432538776, 22.142857301551]"
63,2.1,"[563.285709465387, 298.71428678547, 23.2142861606123, 22.2857144642449]"
64,2.1333,"[559.428566072652, 299.571429761633, 23.571429067347, 22.4285716269388]"
65,2.1667,"[555.571422679918, 300.428572737796, 23.9285719740817, 22.5714287896327]"
66,2.2,"[551.714279287183, 301.285715713959, 24.2857148808164, 22.7142859523265]"
67,2.2333,"[547.857135894448, 302.142858690123, 24.6428577875511, 22.8571431150204]"
68,2.2667,"[544.0, 303.0, 25.0, 23.0]"
69,2.3,"[540.769231279195, 303.999999842154, 25.1538461295621, 23.0]"
70,2.3333,"[537.53846255839, 304.999999684308, 25.3076922591243, 23.0]"
