,time,object_1,object_2
0,0.0,"[65.0, 197.0, 25.0, 87.0]","[30.0, 23.0, 27.0, 22.0]"
1,0.033333,"[72.5000007003312, 198.818182136719, 27.3000002147682, 89.0909094572274]","[30.0, 23.4545455341799, 26.8999999906623, 22.2727273205079]"
2,0.066667,"[80.0000014006624, 200.636364273439, 29.6000004295365, 91.1818189144547]","[30.0, 23.9090910683597, 26.7999999813245, 22.5454546410158]"
3,0.1,"[87.5000021009936, 202.454546410158, 31.9000006443047, 93.2727283716821]","[30.0, 24.3636366025396, 26.6999999719868, 22.8181819615238]"
4,0.13333,"[95.0000028013248, 204.272728546878, 34.2000008590729, 95.3636378289095]","[30.0, 24.8181821367194, 26.599999962649, 23.0909092820317]"
5,0.16667,"[102.500003501656, 206.090910683597, 36.5000010738412, 97.4545472861368]","[30.0, 25.2727276708993, 26.4999999533113, 23.3636366025396]"
6,0.2,"[110.000004201987, 207.909092820317, 38.8000012886094, 99.5454567433642]","[30.0, 25.7272732050792, 26.3999999439735, 23.6363639230475]"
7,0.23333,"[117.500004902318, 209.727274957036, 41.1000015033776, 101.636366200592]","[30.0, 26.181818739259, 26.2999999346358, 23.9090912435554]"
8,0.26667,"[125.00000560265, 211.545457093756, 43.4000017181459, 103.727275657819]","[30.0, 26.6363642734389, 26.199999925298, 24.1818185640633]"
9,0.3,"[132.500006302981, 213.363639230475, 45.7000019329141, 105.818185115046]","[30.0, 27.0909098076187, 26.0999999159603, 24.4545458845713]"
10,0.33333,"[140.0, 215.181821367195, 48.0, 107.909094572274]","[30.0, 27.5454553417986, 26.0, 24.7272732050792]"
11,0.36667,"[147.749998979926, 217.0, 50.6249996544909, 110.0]","[29.1250001151697, 28.0, 25.7500000329056, 25.0]"
12,0.4,"[155.499997959851, 219.333333317881, 53.2499993089819, 111.916666653974]","[28.2500002303394, 27.6666666688742, 25.5000000658112, 25.0]"
13,0.43333,"[163.249996939777, 221.666666635762, 55.8749989634728, 113.833333307947]","[27.3750003455091, 27.3333333377483, 25.2500000987169, 25.0]"
14,0.46667,"[170.999995919703, 223.999999953642, 58.4999986179637, 115.749999961921]","[26.5000004606787, 27.0000000066225, 25.0000001316225, 25.0]"
15,0.5,"[178.749994899628, 226.333333271523, 61.1249982724547, 117.666666615894]","[25.6250005758484, 26.6666666754967, 24.7500001645281, 25.0]"
16,0.53333,"[186.499993879554, 228.666666589404, 63.7499979269456, 119.583333269868]","[24.7500006910181, 26.3333333443709, 24.5000001974337, 25.0]"
17,0.56667,"[194.249992859479, 230.999999907285, 66.3749975814365, 121.499999923841]","[23.8750008061878, 26.000000013245, 24.2500002303394, 25.0]"
18,0.6,"[202.0, 233.333333225166, 69.0, 123.416666577815]","[23.0, 25.6666666821192, 24.0, 25.0]"
19,0.63333,"[207.444444408389, 235.666666543046, 71.7777777593819, 125.333333231788]","[23.5555555518764, 25.3333333509934, 23.7777777792494, 25.0]"
20,0.66667,"[212.888888816777, 237.999999860927, 74.5555555187638, 127.249999885762]","[24.1111111037528, 25.0000000198675, 23.5555555584989, 25.0]"
21,0.7,"[218.333333225166, 240.333333178808, 77.3333332781457, 129.166666539735]","[24.6666666556291, 24.6666666887417, 23.3333333377483, 25.0]"
22,0.73333,"[223.777777633554, 242.666666496689, 80.1111110375276, 131.083333193709]","[25.2222222075055, 24.3333333576159, 23.1111111169978, 25.0]"
23,0.76667,"[229.222222041943, 245.0, 82.8888887969095, 133.0]","[25.7777777593819, 24.0, 22.8888888962472, 25.0]"
24,0.8,"[234.666666450331, 85.6666665562914, 26.3333333112583, 22.6666666754967]","[nan, nan, nan, nan]"
25,0.83333,"[240.11111085872, 88.4444443156733, 26.8888888631347, 22.4444444547461]","[nan, nan, nan, nan]"
26,0.86667,"[245.555555267108, 91.2222220750552, 27.444444415011, 22.2222222339956]","[nan, nan, nan, nan]"
27,0.9,"[251.0, 94.0, 28.0, 22.0]","[nan, nan, nan, nan]"
28,0.93333,"[256.875001429843, 96.8750006997104, 27.4999998783112, 22.0]","[nan, nan, nan, nan]"
29,0.96667,"[262.750002859686, 99.7500013994209, 26.9999997566225, 22.0]","[nan, nan, nan, nan]"
30,1.0,"[268.625004289529, 102.625002099131, 26.4999996349337, 22.0]","[nan, nan, nan, nan]"
31,1.0333,"[274.500005719372, 105.500002798842, 25.9999995132449, 22.0]","[nan, nan, nan, nan]"
32,1.0667,"[280.375007149215, 108.375003498552, 25.4999993915561, 22.0]","[nan, nan, nan, nan]"
33,1.1,"[286.250008579058, 111.250004198263, 24.9999992698674, 22.0]","[nan, nan, nan, nan]"
34,1.1333,"[292.125010008901, 114.125004897973, 24.4999991481786, 22.0]","[nan, nan, nan, nan]"
35,1.1667,"[298.0, 117.0, 24.0, 22.0]","[nan, nan, nan, nan]"
36,1.2,"[303.399998884239, 119.799999421457, 24.0, 22.0999999793378]","[nan, nan, nan, nan]"
37,1.2333,"[308.799997768477, 122.599998842914, 24.0, 22.1999999586755]","[nan, nan, nan, nan]"
38,1.2667,"[314.199996652716, 125.399998264371, 24.0, 22.2999999380133]","[nan, nan, nan, nan]"
39,1.3,"[319.599995536955, 128.199997685828, 24.0, 22.399999917351]","[nan, nan, nan, nan]"
40,1.3333,"[324.999994421193, 130.999997107285, 24.0, 22.4999998966888]","[nan, nan, nan, nan]"
41,1.3667,"[330.399993305432, 133.799996528742, 24.0, 22.5999998760265]","[nan, nan, nan, nan]"
42,1.4,"[335.79999218967, 136.5999959502, 24.0, 22.6999998553643]","[nan, nan, nan, nan]"
43,1.4333,"[341.199991073909, 139.399995371657, 24.0, 22.799999834702]","[nan, nan, nan, nan]"
44,1.4667,"[346.599989958148, 142.199994793114, 24.0, 22.8999998140398]","[nan, nan, nan, nan]"
45,1.5,"[352.0, 145.0, 24.0, 23.0]","[nan, nan, nan, nan]"
46,1.5333,"[357.100000476225, 147.400000224106, 24.2000000186755, 23.0]","[nan, nan, nan, nan]"
47,1.5667,"[362.20000095245, 149.800000448212, 24.400000037351, 23.0]","[nan, nan, nan, nan]"
48,1.6,"[367.300001428676, 152.200000672318, 24.6000000560265, 23.0]","[nan, nan, nan, nan]"
49,1.6333,"[372.400001904901, 154.600000896424, 24.800000074702, 23.0]","[nan, nan, nan, nan]"
50,1.6667,"[377.500002381126, 157.00000112053, 25.0000000933775, 23.0]","[nan, nan, nan, nan]"
51,1.7,"[382.600002857351, 159.400001344636, 25.200000112053, 23.0]","[nan, nan, nan, nan]"
52,1.7333,"[387.700003333576, 161.800001568742, 25.4000001307285, 23.0]","[nan, nan, nan, nan]"
53,1.7667,"[392.800003809802, 164.200001792848, 25.600000149404, 23.0]","[nan, nan, nan, nan]"
54,1.8,"[397.900004286027, 166.600002016954, 25.8000001680795, 23.0]","[nan, nan, nan, nan]"
55,1.8333,"[403.0, 169.0, 26.0, 23.0]","[nan, nan, nan, nan]"
56,1.8667,"[408.399998884239, 170.399999710729, 24.6000002892715, 21.800000247947]","[nan, nan, nan, nan]"
57,1.9,"[413.799997768477, 171.799999421457, 23.2000005785429, 20.6000004958939]","[nan, nan, nan, nan]"
58,1.9333,"[419.199996652716, 173.199999132186, 21.8000008678144, 19.4000007438409]","[nan, nan, nan, nan]"
59,1.9667,"[424.599995536955, 174.599998842914, 20.4000011570859, 18.2000009917879]","[nan, nan, nan, nan]"
60,2.0,"[430.0, 176.0, 19.0, 17.0]","[nan, nan, nan, nan]"
61,2.0333,"[436.999999953642, 176.666666662252, 19.6666666622517, 17.8333333278146]","[nan, nan, nan, nan]"
62,2.0667,"[443.999999907285, 177.333333324503, 20.3333333245033, 18.6666666556291]","[nan, nan, nan, nan]"
63,2.1,"[450.999999860927, 177.999999986755, 20.999999986755, 19.4999999834437]","[nan, nan, nan, nan]"
64,2.1333,"[457.999999814569, 178.666666649007, 21.6666666490066, 20.3333333112583]","[nan, nan, nan, nan]"
65,2.1667,"[464.999999768212, 179.333333311258, 22.3333333112583, 21.1666666390728]","[nan, nan, nan, nan]"
66,2.2,"[472.0, 180.0, 23.0, 22.0]","[nan, nan, nan, nan]"
67,2.2333,"[475.99999997351, 180.444444441501, 22.7777777792494, 22.0]","[nan, nan, nan, nan]"
68,2.2667,"[479.99999994702, 180.888888883002, 22.5555555584989, 22.0]","[nan, nan, nan, nan]"
69,2.3,"[483.99999992053, 181.333333324503, 22.3333333377483, 22.0]","[nan, nan, nan, nan]"
70,2.3333,"[487.99999989404, 181.777777766004, 22.1111111169978, 22.0]","[nan, nan, nan, nan]"
71,2.3667,"[491.99999986755, 182.222222207506, 21.8888888962472, 22.0]","[nan, nan, nan, nan]"
72,2.4,"[495.99999984106, 182.666666649007, 21.6666666754967, 22.0]","[nan, nan, nan, nan]"
73,2.4333,"[499.99999981457, 183.111111090508, 21.4444444547461, 22.0]","[nan, nan, nan, nan]"
74,2.4667,"[503.99999978808, 183.555555532009, 21.2222222339956, 22.0]","[nan, nan, nan, nan]"
75,2.5,"[508.0, 184.0, 21.0, 22.0]","[nan, nan, nan, nan]"
76,2.5333,"[509.500000365066, 183.874999969578, 21.0, 22.3750000912666]","[nan, nan, nan, nan]"
77,2.5667,"[511.000000730133, 183.749999939156, 21.0, 22.7500001825332]","[nan, nan, nan, nan]"
78,2.6,"[512.500001095199, 183.624999908733, 21.0, 23.1250002737997]","[nan, nan, nan, nan]"
79,2.6333,"[514.000001460265, 183.499999878311, 21.0, 23.5000003650663]","[nan, nan, nan, nan]"
80,2.6667,"[515.500001825332, 183.374999847889, 21.0, 23.8750004563329]","[nan, nan, nan, nan]"
81,2.7,"[517.000002190398, 183.249999817467, 21.0, 24.2500005475995]","[nan, nan, nan, nan]"
82,2.7333,"[518.500002555464, 183.124999787045, 21.0, 24.625000638866]","[nan, nan, nan, nan]"
83,2.7667,"[520.0, 183.0, 21.0, 25.0]","[nan, nan, nan, nan]"
84,2.8,"[522.999999605133, 182.187500106943, 21.312499958868, 25.0624999917736]","[nan, nan, nan, nan]"
85,2.8333,"[525.999999210265, 181.375000213887, 21.6249999177359, 25.1249999835472]","[nan, nan, nan, nan]"
86,2.8667,"[528.999998815398, 180.56250032083, 21.9374998766039, 25.1874999753208]","[nan, nan, nan, nan]"
87,2.9,"[531.99999842053, 179.750000427773, 22.2499998354719, 25.2499999670944]","[nan, nan, nan, nan]"
88,2.9333,"[534.999998025663, 178.937500534716, 22.5624997943399, 25.312499958868]","[nan, nan, nan, nan]"
89,2.9667,"[537.999997630795, 178.12500064166, 22.8749997532078, 25.3749999506416]","[nan, nan, nan, nan]"
90,3.0,"[540.999997235928, 177.312500748603, 23.1874997120758, 25.4374999424152]","[nan, nan, nan, nan]"
