,time,object_1,object_2,object_3,object_4,object_5
0,0.0,"[385.0, 376.0, 272.0, 265.0]","[18.0, 21.0, 22.0, 21.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
1,0.033333,"[383.928571428571, 375.782608676749, 272.190476190476, 264.826086941399]","[18.1428571428571, 21.0434782646503, 22.0714285714286, 21.0434782646503]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
2,0.066667,"[382.857142857143, 375.565217353497, 272.380952380952, 264.652173882798]","[18.2857142857143, 21.0869565293006, 22.1428571428571, 21.0869565293006]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
3,0.1,"[381.785714285714, 375.347826030246, 272.571428571429, 264.478260824197]","[18.4285714285714, 21.1304347939508, 22.2142857142857, 21.1304347939508]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
4,0.13333,"[380.714285714286, 375.130434706994, 272.761904761905, 264.304347765595]","[18.5714285714286, 21.1739130586011, 22.2857142857143, 21.1739130586011]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
5,0.16667,"[379.642857142857, 374.913043383743, 272.952380952381, 264.130434706994]","[18.7142857142857, 21.2173913232514, 22.3571428571429, 21.2173913232514]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,0.2,"[378.571428571429, 374.695652060491, 273.142857142857, 263.956521648393]","[18.8571428571429, 21.2608695879017, 22.4285714285714, 21.2608695879017]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,0.23333,"[377.5, 374.47826073724, 273.333333333333, 263.782608589792]","[19.0, 21.304347852552, 22.5, 21.304347852552]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,0.26667,"[376.428571428572, 374.260869413989, 273.52380952381, 263.608695531191]","[19.1428571428571, 21.3478261172023, 22.5714285714286, 21.3478261172023]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,0.3,"[375.357142857143, 374.043478090737, 273.714285714286, 263.43478247259]","[19.2857142857143, 21.3913043818525, 22.6428571428572, 21.3913043818525]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,0.33333,"[374.285714285714, 373.826086767486, 273.904761904762, 263.260869413988]","[19.4285714285714, 21.4347826465028, 22.7142857142857, 21.4347826465028]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,0.36667,"[373.214285714286, 373.608695444234, 274.095238095238, 263.086956355387]","[19.5714285714286, 21.4782609111531, 22.7857142857143, 21.4782609111531]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,0.4,"[372.142857142857, 373.391304120983, 274.285714285714, 262.913043296786]","[19.7142857142857, 21.5217391758034, 22.8571428571429, 21.5217391758034]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,0.43333,"[371.071428571429, 373.173912797731, 274.476190476191, 262.739130238185]","[19.8571428571429, 21.5652174404537, 22.9285714285714, 21.5652174404537]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,0.46667,"[370.0, 372.95652147448, 274.666666666667, 262.565217179584]","[20.0, 21.608695705104, 23.0, 21.608695705104]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,0.5,"[368.928571428572, 372.739130151228, 274.857142857143, 262.391304120983]","[20.1428571428571, 21.6521739697542, 23.0714285714286, 21.6521739697542]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,0.53333,"[367.857142857143, 372.521738827977, 513.0, 275.047619047619]","[262.217391062381, 190.0, 20.0, 21.0]","[27.0, 23.0, 21.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,0.56667,"[366.785714285715, 372.304347504726, 512.759999989621, 275.238095238095]","[262.04347800378, 189.479999977512, 20.4285714285714, 21.7391304990548]","[26.7999999913506, 23.2142857142857, 21.7391304990548, 25.7999999913506]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
18,0.6,"[365.714285714286, 372.086956181474, 512.519999979241, 275.428571428572]","[261.869564945179, 188.959999955023, 20.5714285714286, 21.7826087637051]","[26.5999999827013, 23.2857142857143, 21.7826087637051, 25.5999999827013]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
19,0.63333,"[364.642857142857, 371.869564858223, 512.279999968862, 275.619047619048]","[261.695651886578, 188.439999932535, 20.7142857142857, 21.8260870283554]","[26.3999999740519, 23.3571428571429, 21.8260870283554, 25.3999999740519]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,0.66667,"[363.571428571429, 371.652173534971, 512.039999958483, 275.809523809524]","[261.521738827977, 187.919999910047, 20.8571428571428, 21.8695652930056]","[26.1999999654026, 23.4285714285715, 21.8695652930056, 25.1999999654026]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,0.7,"[362.5, 371.43478221172, 511.799999948104, 276.0]","[261.347825769376, 187.399999887558, 21.0, 21.9130435576559]","[25.9999999567532, 23.5, 21.9130435576559, 24.9999999567532]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
22,0.73333,"[361.428571428572, 371.217390888468, 511.559999937724, 276.190476190476]","[261.173912710775, 186.87999986507, 21.1428571428571, 21.9565218223062]","[25.7999999481039, 23.5714285714286, 21.9565218223062, 24.7999999481039]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
23,0.76667,"[360.357142857143, 371.0, 511.319999927345, 276.380952380953]","[261.0, 186.359999842582, 21.2857142857143, 22.0]","[25.5999999394545, 23.6428571428572, 22.0, 24.5999999394545]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
24,0.8,"[359.285714285715, 370.178571487245, 511.079999916966, 276.571428571429]","[261.21428569898, 185.839999820093, 21.4285714285714, 22.1071428494898]","[25.3999999308052, 23.7142857142858, 21.8214285841837, 24.3999999308052]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
25,0.83333,"[358.214285714286, 369.35714297449, 510.839999906587, 276.761904761905]","[261.428571397959, 185.319999797605, 21.5714285714286, 22.2142856989796]","[25.1999999221558, 23.7857142857143, 21.6428571683673, 24.1999999221558]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
26,0.86667,"[357.142857142858, 368.535714461735, 510.599999896208, 276.952380952381]","[261.642857096939, 184.799999775117, 21.7142857142857, 22.3214285484694]","[24.9999999135065, 23.8571428571429, 21.464285752551, 23.9999999135065]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
27,0.9,"[356.071428571429, 367.71428594898, 510.359999885828, 277.142857142858]","[261.857142795918, 184.279999752628, 21.8571428571428, 22.4285713979592]","[24.7999999048571, 23.9285714285715, 21.2857143367347, 23.7999999048571]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
28,0.93333,"[355.0, 366.892857436224, 510.119999875449, 277.333333333334]","[262.071428494898, 183.75999973014, 22.0, 22.535714247449]","[24.5999998962078, 24.0, 21.1071429209184, 23.5999998962078]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
29,0.96667,"[353.928571428572, 366.071428923469, 509.87999986507, 277.52380952381]","[262.285714193878, 183.239999707652, 22.1428571428571, 22.6428570969388]","[24.3999998875584, 24.0714285714286, 20.928571505102, 23.3999998875584]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
30,1.0,"[352.857142857143, 365.250000410714, 509.639999854691, 277.714285714286]","[262.499999892857, 182.719999685164, 22.2857142857143, 22.7499999464286]","[24.1999998789091, 24.1428571428572, 20.7500000892857, 23.1999998789091]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
31,1.0333,"[351.785714285715, 364.428571897959, 509.399999844311, 277.904761904762]","[262.714285591837, 182.199999662675, 22.4285714285714, 22.8571427959184]","[23.9999998702597, 24.2142857142858, 20.5714286734694, 22.9999998702597]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
32,1.0667,"[350.714285714286, 363.607143385204, 509.159999833932, 278.095238095239]","[262.928571290816, 181.679999640187, 22.5714285714286, 22.9642856454082]","[23.7999998616104, 24.2857142857143, 20.392857257653, 22.7999998616104]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
