,time,object_1,object_2,object_3
0,0.0,"[275.814727783203, 200.38330078125, 29.7484130859375, 28.7225494384766]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
1,0.033333,"[274.920593261719, 201.112594604492, 28.2016906738281, 27.1929473876953]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
2,0.066667,"[271.211395263672, 200.893966674805, 28.1445617675781, 27.2027893066406]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
3,0.1,"[266.823699951172, 199.846466064453, 29.4126281738281, 28.3619232177734]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
4,0.13333,"[264.691925048828, 199.484161376953, 30.1328735351562, 29.0854644775391]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
5,0.16667,"[261.210540771484, 199.802154541016, 29.2810668945312, 28.2498779296875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,0.2,"[260.257110595703, 200.363128662109, 27.5632934570312, 26.5497131347656]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,0.23333,"[256.606689453125, 200.408172607422, 27.4568481445312, 26.4621276855469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,0.26667,"[252.353042602539, 199.660751342773, 28.0266265869141, 27.0086669921875]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,0.3,"[249.215774536133, 198.264709472656, 30.7447357177734, 29.7305908203125]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,0.33333,"[245.290496826172, 197.712219238281, 30.7814636230469, 29.7979583740234]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,0.36667,"[243.258148193359, 197.718139648438, 30.7611389160156, 29.7779388427734]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,0.4,"[239.183395385742, 197.403884887695, 30.8885040283203, 29.9015808105469]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,0.43333,"[237.247848510742, 197.397125244141, 30.8704986572266, 29.8822631835938]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,0.46667,"[234.578765869141, 198.199157714844, 28.8209533691406, 27.7771911621094]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,0.5,"[232.666564941406, 198.013931274414, 28.6322631835938, 27.6094360351562]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,0.53333,"[229.208435058594, 198.22004699707, 27.731201171875, 26.7165374755859]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,0.56667,"[227.181213378906, 197.9609375, 27.8282623291016, 26.8056182861328]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
18,0.6,"[223.054412841797, 197.663909912109, 28.0782165527344, 27.043212890625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
19,0.63333,"[219.13053894043, 197.32568359375, 27.9215087890625, 26.8919219970703]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,0.66667,"[217.205352783203, 197.249404907227, 27.7986145019531, 26.7701110839844]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,0.7,"[213.154937744141, 196.203842163086, 27.9703063964844, 26.9474639892578]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
22,0.73333,"[211.196197509766, 196.198226928711, 27.9663696289062, 26.9492797851562]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
23,0.76667,"[207.13557434082, 195.205825805664, 28.094970703125, 27.0730743408203]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
24,0.8,"[202.182388305664, 193.963851928711, 29.5726165771484, 28.5540008544922]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
25,0.83333,"[200.086349487305, 193.612594604492, 29.7291259765625, 28.7020568847656]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
26,0.86667,"[196.184921264648, 192.908248901367, 29.536376953125, 28.5203094482422]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
27,0.9,"[194.253936767578, 192.876846313477, 29.4623870849609, 28.4334869384766]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
