,time,object_1,object_2,object_3,object_4
0,0.0,"[179.0, 123.340515136719, 100.0, 334.770661651477]","[25.0, 27.0, 35.0, 31.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
1,0.033333,"[180.0, 120.449768066406, 103.0, 332.997193455173]","[42.0, 29.0, 28.0, 33.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
2,0.066667,"[196.0, 119.32674407959, 98.0, 334.827302276477]","[26.0, 29.0, 33.0, 32.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
3,0.1,"[196.0, 121.783966064453, 99.0, 340.006074070407]","[38.0, 19.0, 28.0, 22.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
4,0.13333,"[204.0, 117.403205871582, 94.0, 337.423493146547]","[30.0, 22.0, 33.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
5,0.16667,"[204.0, 114.370186030777, 94.0, 338.292267918063]","[43.0, 24.0, 29.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,0.2,"[220.0, 110.267425537109, 90.0, 338.736360072391]","[29.0, 27.0, 35.0, 32.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,0.23333,"[220.0, 109.718238830566, 90.0, 334.527313232422]","[36.0, 25.8815536499023, 31.0, 29.8579711914062]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,0.26667,"[239.0, 107.227340698242, 88.0, 333.610290527344]","[17.0, 29.7685546875, 33.0, 34.3785095214844]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,0.3,"[238.0, 108.562461853027, 89.0, 340.034088134766]","[34.0, 21.8134384155273, 32.0, 25.4013061523438]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,0.33333,"[252.0, 104.397903442383, 86.0, 338.796173095703]","[19.0, 25.6242065429688, 34.0, 29.62744140625]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,0.36667,"[251.0, 102.337097167969, 88.0, 339.5048828125]","[34.0, 25.6977081298828, 29.0, 30.0105895996094]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,0.4,"[262.0, 102.0, 88.0, 342.0]","[23.0, 23.0, 29.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,0.43333,"[262.0, 99.0, 88.0, 341.0]","[32.0, 28.0, 33.0, 27.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,0.46667,"[276.0, 96.0, 88.0, 345.0]","[18.0, 28.0, 33.0, 26.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,0.5,"[276.0, 96.0, 88.0, 345.0]","[32.0, 27.0, 30.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,0.53333,"[286.0, 94.0, 88.0, 345.0]","[22.0, 29.0, 30.0, 28.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,0.56667,"[285.0, 94.0, 88.0, 349.0]","[33.0, 28.0, 29.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
18,0.6,"[291.0, 94.0, 88.0, 349.0]","[27.0, 30.0, 29.0, 23.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
19,0.63333,"[303.0, 93.0, 90.0, 347.0]","[23.0, 31.0, 31.0, 25.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,0.66667,"[303.0, 93.0, 90.0, 347.0]","[28.0, 25.0, 28.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,0.7,"[315.0, 89.0, 92.0, 348.0]","[16.0, 29.0, 26.0, 29.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
22,0.73333,"[315.0, 89.0, 93.0, 348.0]","[29.0, 30.0, 29.0, 30.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
23,0.76667,"[318.0, 87.0, 91.0, 345.0]","[26.0, 32.0, 31.0, 33.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
24,0.8,"[332.0, 87.0, 94.0, 345.0]","[16.0, 34.0, 30.0, 33.0]","[nan, nan, nan, nan]","[nan, nan, nan, nan]"
