,time,object_1
0,0.0,"[147.0, 243.0, 24.0, 20.0]"
1,0.033333,"[146.75, 242.5, 23.75, 20.25]"
2,0.066667,"[146.5, 242.0, 23.5, 20.5]"
3,0.1,"[146.25, 241.5, 23.25, 20.75]"
4,0.13333,"[146.0, 241.0, 23.0, 21.0]"
5,0.16667,"[145.75, 240.5, 22.75, 21.25]"
6,0.2,"[145.5, 240.0, 22.5, 21.5]"
7,0.23333,"[145.25, 239.5, 22.25, 21.75]"
8,0.26667,"[145.0, 239.0, 22.0, 22.0]"
9,0.3,"[144.75, 238.5, 21.75, 22.25]"
10,0.33333,"[144.5, 238.0, 21.5, 22.5]"
11,0.36667,"[144.25, 237.5, 21.25, 22.75]"
12,0.4,"[144.0, 237.0, 21.0, 23.0]"
13,0.43333,"[143.739130933838, 236.65217457845, 21.173912710775, 22.9565218223062]"
14,0.46667,"[143.478261345936, 236.304348461247, 21.3478257693761, 22.9130435576559]"
15,0.5,"[143.217391758034, 235.956522344045, 21.5217388279773, 22.8695652930056]"
16,0.53333,"[142.956522170132, 235.608696226843, 21.6956518865784, 22.8260870283554]"
17,0.56667,"[142.695652582231, 235.260870109641, 21.8695649451795, 22.7826087637051]"
18,0.6,"[142.434782994329, 234.913043992438, 22.0434780037807, 22.7391304990548]"
19,0.63333,"[142.173913406427, 234.565217875236, 22.2173910623818, 22.6956522344045]"
20,0.66667,"[141.913043818526, 234.217391758034, 22.3913041209829, 22.6521739697542]"
21,0.7,"[141.652174230624, 233.869565640832, 22.5652171795841, 22.608695705104]"
22,0.73333,"[141.391304642722, 233.521739523629, 22.7391302381852, 22.5652174404537]"
23,0.76667,"[141.130435054821, 233.173913406427, 22.9130432967864, 22.5217391758034]"
24,0.8,"[140.869565466919, 232.826087289225, 23.0869563553875, 22.4782609111531]"
25,0.83333,"[140.608695879017, 232.478261172023, 23.2608694139886, 22.4347826465028]"
26,0.86667,"[140.347826291115, 232.13043505482, 23.4347824725898, 22.3913043818525]"
27,0.9,"[140.086956703214, 231.782608937618, 23.6086955311909, 22.3478261172023]"
28,0.93333,"[139.826087115312, 231.434782820416, 23.782608589792, 22.304347852552]"
29,0.96667,"[139.56521752741, 231.086956703214, 23.9565216483932, 22.2608695879017]"
30,1.0,"[139.304347939509, 230.739130586011, 24.1304347069943, 22.2173913232514]"
31,1.0333,"[139.043478351607, 230.391304468809, 24.3043477655955, 22.1739130586011]"
32,1.0667,"[138.782608763705, 230.043478351607, 24.4782608241966, 22.1304347939508]"
33,1.1,"[138.521739175803, 229.695652234405, 24.6521738827977, 22.0869565293006]"
34,1.1333,"[138.260869587902, 229.347826117202, 24.8260869413989, 22.0434782646503]"
35,1.1667,"[138.0, 229.0, 25.0, 22.0]"
36,1.2,"[138.277777777778, 228.666666666667, 24.9444444444445, 21.8888888888889]"
37,1.2333,"[138.555555555556, 228.333333333333, 24.8888888888889, 21.7777777777778]"
38,1.2667,"[138.833333333333, 228.0, 24.8333333333334, 21.6666666666667]"
39,1.3,"[139.111111111111, 227.666666666667, 24.7777777777778, 21.5555555555556]"
40,1.3333,"[139.388888888889, 227.333333333333, 24.7222222222222, 21.4444444444444]"
41,1.3667,"[139.666666666667, 227.0, 24.6666666666667, 21.3333333333333]"
42,1.4,"[139.944444444445, 226.666666666667, 24.6111111111111, 21.2222222222222]"
43,1.4333,"[140.222222222222, 226.333333333333, 24.5555555555556, 21.1111111111111]"
44,1.4667,"[140.5, 226.0, 24.5, 21.0]"
45,1.5,"[140.777777777778, 225.666666666667, 24.4444444444445, 20.8888888888889]"
46,1.5333,"[141.055555555556, 225.333333333333, 24.3888888888889, 20.7777777777778]"
47,1.5667,"[141.333333333333, 225.0, 24.3333333333333, 20.6666666666667]"
48,1.6,"[141.611111111111, 224.666666666667, 24.2777777777778, 20.5555555555556]"
49,1.6333,"[141.888888888889, 224.333333333333, 24.2222222222222, 20.4444444444444]"
50,1.6667,"[142.166666666667, 224.0, 24.1666666666667, 20.3333333333333]"
51,1.7,"[142.444444444444, 223.666666666667, 24.1111111111111, 20.2222222222222]"
52,1.7333,"[142.722222222222, 223.333333333333, 24.0555555555556, 20.1111111111111]"
53,1.7667,"[143.0, 223.0, 24.0, 20.0]"
54,1.8,"[143.607144028061, 222.464284681123, 23.9285712908164, 20.0]"
55,1.8333,"[144.214286841837, 221.928570433674, 23.8571427244898, 20.0]"
56,1.8667,"[144.821429655612, 221.392856186225, 23.7857141581633, 20.0]"
57,1.9,"[145.428572469388, 220.857141938776, 23.7142855918368, 20.0]"
58,1.9333,"[146.035715283163, 220.321427691327, 23.6428570255102, 20.0]"
