,time,object_1,object_2
0,0.0,"[299.0, 510.0, 12.0, 254.0]","[37.0, 25.0, 23.0, 28.0]"
1,0.033333,"[297.153847709802, 508.428572712443, 11.8461539758168, 250.000003268037]","[36.9230769879084, 25.4285710784246, 22.9230769879084, 28.2857140522831]"
2,0.066667,"[295.307693733985, 506.857143927036, 11.6923078111654, 246.000002723364]","[36.8461539055827, 25.8571425653539, 22.8461539055827, 28.5714283769026]"
3,0.1,"[293.461539758168, 505.285715141629, 11.538461646514, 242.000002178691]","[36.769230823257, 26.2857140522831, 22.769230823257, 28.8571427015221]"
4,0.13333,"[291.615385782351, 503.714286356222, 11.3846154818626, 238.000001634018]","[36.6923077409313, 26.7142855392123, 22.6923077409313, 29.1428570261415]"
5,0.16667,"[289.769231806535, 502.142857570814, 11.2307693172112, 234.000001089346]","[36.6153846586056, 27.1428570261415, 22.6153846586056, 29.428571350761]"
6,0.2,"[287.923077830718, 500.571428785407, 11.0769231525598, 230.000000544673]","[36.5384615762799, 27.5714285130708, 22.5384615762799, 29.7142856753805]"
7,0.23333,"[286.076923854901, 499.0, 10.9230769879084, 226.0]","[36.4615384939542, 28.0, 22.4615384939542, 30.0]"
8,0.26667,"[284.230769879084, 497.666666595318, 10.769230823257, 223.999999892977]","[36.3846154116285, 27.5555555317726, 22.3846154116285, 29.7777777658863]"
9,0.3,"[282.384615903267, 496.333333270903, 10.6153846586056, 221.999999906355]","[36.3076923293028, 27.111111090301, 22.3076923293028, 29.5555555451505]"
10,0.33333,"[280.53846192745, 494.999999946488, 10.4615384939542, 219.999999919732]","[36.2307692469771, 26.6666666488294, 22.2307692469771, 29.3333333244147]"
11,0.36667,"[278.692307951634, 493.666666622073, 10.3076923293028, 217.99999993311]","[36.1538461646514, 26.2222222073579, 22.1538461646514, 29.1111111036789]"
12,0.4,"[276.846153975817, 492.333333297659, 10.1538461646514, 215.999999946488]","[36.0769230823257, 25.7777777658863, 22.0769230823257, 28.8888888829431]"
13,0.43333,"[275.0, 490.999999973244, 10.0, 213.999999959866]","[36.0, 25.3333333244147, 22.0, 28.6666666622074]"
14,0.46667,"[273.499999949833, 489.666666648829, 10.1666666722408, 211.999999973244]","[36.0, 24.8888888829431, 23.0000000334448, 28.4444444414716]"
15,0.5,"[271.999999959866, 488.333333324415, 10.3333333377926, 209.999999986622]","[36.0, 24.4444444414716, 24.0000000267559, 28.2222222207358]"
16,0.53333,"[270.4999999699, 487.0, 10.5000000033445, 208.0]","[36.0, 24.0, 25.0000000200669, 28.0]"
17,0.56667,"[268.999999979933, 484.444444307692, 10.6666666688963, 207.888888882943]","[36.0, 24.4444444682274, 26.0000000133779, 27.7777777658863]"
18,0.6,"[267.499999989967, 481.888888769231, 10.8333333344482, 207.777777772575]","[36.0, 24.888888909699, 27.000000006689, 27.5555555451505]"
19,0.63333,"[266.0, 479.333333230769, 11.0, 207.666666662207]","[36.0, 25.3333333511706, 28.0, 27.3333333244147]"
20,0.66667,"[264.999999966555, 476.777777692308, 12.3333333779264, 207.555555551839]","[35.4999999832776, 25.7777777926421, 28.1666666722408, 27.1111111036789]"
21,0.7,"[263.999999973244, 474.222222153846, 13.6666667023411, 207.444444441472]","[34.9999999866221, 26.2222222341137, 28.3333333377926, 26.8888888829431]"
22,0.73333,"[262.999999979933, 471.666666615385, 15.0000000267559, 207.333333331104]","[34.4999999899666, 26.6666666755853, 28.5000000033445, 26.6666666622074]"
23,0.76667,"[261.999999986622, 469.111111076923, 16.3333333511706, 207.222222220736]","[33.999999993311, 27.1111111170569, 28.6666666688963, 26.4444444414716]"
24,0.8,"[260.999999993311, 466.555555538462, 17.6666666755853, 207.111111110368]","[33.4999999966555, 27.5555555585284, 28.8333333344482, 26.2222222207358]"
25,0.83333,"[260.0, 464.0, 19.0, 207.0]","[33.0, 28.0, 29.0, 26.0]"
26,0.86667,"[259.499999983278, 459.700003611138, 21.500000083612, 208.299998908261]","[33.1666666722408, 28.0, 28.6666666555184, 26.3999996640802]"
27,0.9,"[258.999999986622, 455.4000032099, 24.0000000668896, 209.599999029565]","[33.3333333377927, 28.0, 28.3333333244147, 26.7999997014047]"
28,0.93333,"[258.499999989967, 451.100002808663, 26.5000000501672, 210.89999915087]","[33.5000000033445, 28.0, 27.999999993311, 27.1999997387291]"
29,0.96667,"[257.999999993311, 446.800002407425, 29.0000000334448, 212.199999272174]","[33.6666666688963, 28.0, 27.6666666622074, 27.5999997760535]"
30,1.0,"[257.499999996656, 442.500002006188, 31.5000000167224, 213.499999393478]","[33.8333333344482, 28.0, 27.3333333311037, 27.9999998133779]"
31,1.0333,"[257.0, 438.20000160495, 34.0, 214.799999514783]","[34.0, 28.0, 27.0, 28.3999998507023]"
32,1.0667,"[256.428571895434, 433.900001203713, 36.7142834966893, 216.099999636087]","[34.7142851307077, 28.0, 27.7142851307077, 28.7999998880267]"
33,1.1,"[255.857143246195, 429.600000802475, 39.4285695805744, 217.399999757391]","[35.4285709422564, 28.0, 28.4285709422564, 29.1999999253512]"
34,1.1333,"[255.285714596956, 425.300000401238, 42.1428556644595, 218.699999878696]","[36.1428567538051, 28.0, 29.1428567538051, 29.5999999626756]"
35,1.1667,"[254.714285947717, 421.0, 44.8571417483447, 220.0]","[36.8571425653539, 28.0, 29.8571425653539, 30.0]"
36,1.2,"[254.142857298478, 416.799996527626, 47.5714278322298, 224.200003472374]","[37.5714283769026, 27.7999998346489, 30.5714283769026, 29.5999996692977]"
37,1.2333,"[253.571428649239, 412.59999739572, 50.2857139161149, 228.40000260428]","[38.2857141884513, 27.5999998759866, 31.2857141884513, 29.1999997519733]"
38,1.2667,"[253.0, 408.399998263813, 53.0, 232.600001736187]","[39.0, 27.3999999173244, 32.0, 28.7999998346489]"
39,1.3,"[253.142857393488, 404.199999131907, 56.1428626567454, 236.800000868093]","[38.5714278195347, 27.1999999586622, 31.4285704260463, 28.3999999173244]"
40,1.3333,"[253.285714494574, 400.0, 59.2857188806212, 241.0]","[38.1428565162789, 27.0, 30.8571420217052, 28.0]"
41,1.3667,"[253.428571595659, 393.714290849772, 62.4285751044969, 242.714284313698]","[37.7142852130231, 27.5714281045662, 30.2857136173642, 28.7142851307077]"
42,1.4,"[253.571428696744, 387.428575708143, 65.5714313283727, 244.428570261415]","[37.2857139097674, 28.1428567538051, 29.7142852130231, 29.4285709422564]"
43,1.4333,"[253.714285797829, 381.142860566515, 68.7142875522485, 246.142856209132]","[36.8571426065116, 28.7142854030441, 29.1428568086821, 30.1428567538051]"
44,1.4667,"[253.857142898915, 374.857145424886, 71.8571437761242, 247.857142156849]","[36.4285713032558, 29.2857140522831, 28.571428404341, 30.8571425653539]"
45,1.5,"[254.0, 368.571430283257, 75.0, 249.571428104566]","[36.0, 29.8571427015221, 28.0, 31.5714283769026]"
46,1.5333,"[254.374999361308, 362.285715141629, 77.7499953162614, 251.285714052283]","[36.0, 30.428571350761, 28.8749985097195, 32.2857141884513]"
47,1.5667,"[254.74999945255, 356.0, 80.4999959853669, 253.0]","[36.0, 31.0, 29.7499987226167, 33.0]"
48,1.6,"[255.124999543792, 349.249993777697, 83.2499966544724, 254.250001152278]","[36.0, 30.7499997695443, 30.6249989355139, 31.9999990781774]"
49,1.6333,"[255.499999635033, 342.499994666598, 85.9999973235779, 255.500000987667]","[36.0, 30.4999998024666, 31.4999991484112, 30.9999992098663]"
50,1.6667,"[255.874999726275, 335.749995555498, 88.7499979926834, 256.750000823056]","[36.0, 30.2499998353888, 32.3749993613084, 29.9999993415553]"
51,1.7,"[256.249999817517, 328.999996444398, 91.499998661789, 258.000000658445]","[36.0, 29.9999998683111, 33.2499995742056, 28.9999994732442]"
52,1.7333,"[256.624999908758, 322.249997333299, 94.2499993308945, 259.250000493834]","[36.0, 29.7499999012333, 34.1249997871028, 27.9999996049332]"
53,1.7667,"[257.0, 315.499998222199, 97.0, 260.500000329222]","[36.0, 29.4999999341555, 35.0, 26.9999997366221]"
54,1.8,"[257.428572180465, 308.7499991111, 100.857149624188, 261.750000164611]","[36.0, 29.2499999670778, 34.5714278195347, 25.9999998683111]"
55,1.8333,"[257.857143483721, 302.0, 104.71429135349, 263.0]","[36.0, 29.0, 34.1428565162789, 25.0]"
56,1.8667,"[258.285714786977, 295.000005719064, 108.571433082792, 263.142857026142]","[36.0, 29.0, 33.7142852130231, 25.4285710784246]"
57,1.9,"[258.714286090233, 288.000004765887, 112.428574812094, 263.285714188451]","[36.0, 29.0, 33.2857139097674, 25.8571425653539]"
58,1.9333,"[259.142857393488, 281.00000381271, 116.285716541396, 263.428571350761]","[36.0, 29.0, 32.8571426065116, 26.2857140522831]"
59,1.9667,"[259.571428696744, 274.000002859532, 120.142858270698, 263.571428513071]","[36.0, 29.0, 32.4285713032558, 26.7142855392123]"
60,2.0,"[260.0, 267.000001906355, 124.0, 263.714285675381]","[36.0, 29.0, 32.0, 27.1428570261415]"
61,2.0333,"[260.999999182991, 260.000000953177, 127.857139705822, 263.85714283769]","[35.7142859477169, 29.0, 31.7142859477169, 27.5714285130708]"
62,2.0667,"[261.999999319159, 253.0, 131.714283088185, 264.0]","[35.4285716230974, 29.0, 31.4285716230974, 28.0]"
63,2.1,"[262.999999455327, 243.714269423252, 135.571426470548, 264.857144360931]","[35.1428572984779, 29.8571443609306, 31.1428572984779, 28.1428573934884]"
64,2.1333,"[263.999999591495, 234.42855785271, 139.428569852911, 265.714286967442]","[34.8571429738585, 30.7142869674421, 30.8571429738585, 28.2857144945737]"
65,2.1667,"[264.999999727664, 225.142846282168, 143.285713235274, 266.571429573954]","[34.571428649239, 31.5714295739537, 30.571428649239, 28.428571595659]"
66,2.2,"[265.999999863832, 215.857134711626, 147.142856617637, 267.428572180465]","[34.2857143246195, 32.4285721804653, 30.2857143246195, 28.5714286967442]"
67,2.2333,"[267.0, 206.571423141084, 151.0, 268.285714786977]","[34.0, 33.2857147869769, 30.0, 28.7142857978295]"
68,2.2667,"[268.833333394649, 197.285711570542, 154.833333461539, 269.142857393488]","[33.8333333277592, 34.1428573934884, 30.3333333444816, 28.8571428989147]"
69,2.3,"[270.666666715719, 188.0, 158.666666769231, 270.0]","[33.6666666622073, 35.0, 30.6666666755853, 29.0]"
70,2.3333,"[272.500000036789, 182.400008810171, 162.500000076923, 270.999998426755]","[33.4999999966555, 34.0000015732448, 31.000000006689, 28.800000314649]"
71,2.3667,"[274.333333357859, 176.800006607628, 166.333333384615, 271.999998820066]","[33.3333333311037, 33.0000011799336, 31.3333333377926, 28.6000002359867]"
72,2.4,"[276.16666667893, 171.200004405085, 170.166666692308, 272.999999213378]","[33.1666666655518, 32.0000007866224, 31.6666666688963, 28.4000001573245]"
73,2.4333,"[278.0, 165.600002202543, 174.0, 273.999999606689]","[33.0, 31.0000003933112, 32.0, 28.2000000786622]"
74,2.4667,"[279.666666722408, 160.0, 177.833333461539, 275.0]","[33.3333333444816, 30.0, 31.8333333277592, 28.0]"
75,2.5,"[281.333333377926, 154.666666488294, 181.666666769231, 275.666666688963]","[33.6666666755853, 30.3333333444816, 31.6666666622074, 28.3333333444816]"
76,2.5333,"[283.000000033445, 149.333333190635, 185.500000076923, 276.33333335117]","[34.000000006689, 30.6666666755853, 31.4999999966555, 28.6666666755853]"
77,2.5667,"[284.666666688963, 143.999999892977, 189.333333384615, 277.000000013378]","[34.3333333377926, 31.000000006689, 31.3333333311037, 29.000000006689]"
78,2.6,"[286.333333344482, 138.666666595318, 193.166666692308, 277.666666675585]","[34.6666666688963, 31.3333333377926, 31.1666666655518, 29.3333333377926]"
79,2.6333,"[288.0, 133.333333297659, 197.0, 278.333333337793]","[35.0, 31.6666666688963, 31.0, 29.6666666688963]"
80,2.6667,"[289.333333377927, 128.0, 200.166666772575, 279.0]","[35.1666666722408, 32.0, 30.8333333277592, 30.0]"
81,2.7,"[290.666666702341, 122.714276440928, 203.33333341806, 279.857144360931]","[35.3333333377927, 31.8571426065116, 30.6666666622074, 30.1428573934884]"
82,2.7333,"[292.000000026756, 117.428563700774, 206.500000063545, 280.714286967442]","[35.5000000033445, 31.7142855054263, 30.4999999966555, 30.2857144945737]"
83,2.7667,"[293.333333351171, 112.142850960619, 209.66666670903, 281.571429573954]","[35.6666666688963, 31.571428404341, 30.3333333311037, 30.428571595659]"
84,2.8,"[294.666666675585, 106.857138220464, 212.833333354515, 282.428572180465]","[35.8333333344482, 31.4285713032558, 30.1666666655518, 30.5714286967442]"
85,2.8333,"[296.0, 101.571425480309, 216.0, 283.285714786977]","[36.0, 31.2857142021705, 30.0, 30.7142857978295]"
